time(UTC);RH
20210209:0900;92,35
20210209:1000;92,4
20210209:1100;89,1
20210209:1200;89,1
20210209:1300;85,95
20210209:1400;89,15
20210209:1500;92,45
20210209:1600;85,95
20210209:1700;89,05
20210209:1800;85,75
20210209:1900;85,85
20210209:2000;89,05
20210209:2100;89
20210209:2200;89
20210209:2300;89
20210210:0000;89
20210210:0100;85,8
20210210:0200;92,35
20210210:0300;92,35
20210210:0400;95,8
20210210:0500;95,8
20210210:0600;95,8
20210210:0700;92,3
20210210:0800;92,3
20210210:0900;89
20210210:1000;76,95
20210210:1100;64,1
20210210:1200;53,35
20210210:1300;47,75
20210210:1400;44,5
20210210:1500;46,2
20210210:1600;48
20210210:1700;55,5
20210210:1800;61,75
20210210:1900;68,9
20210210:2000;74,05
20210210:2100;76,8
20210210:2200;79,65
20210210:2300;79,65
20210211:0000;79,65
20210211:0100;82,65
20210211:0200;82,65
20210211:0300;85,8
20210211:0400;89
20210211:0500;92,35
20210211:0600;95,8
20210211:0700;95,75
20210211:0800;92,3
20210211:0900;89,1
20210211:1000;86,05
20210211:1100;83,15
20210211:1200;77,5
20210211:1300;72,3
20210211:1400;72,3
20210211:1500;74,95
20210211:1600;77,6
20210211:1700;83,25
20210211:1800;86,25
20210211:1900;92,6
20210211:2000;95,9
20210211:2100;92,55
20210211:2200;92,55
20210211:2300;92,55
20210212:0000;92,55
20210212:0100;92,55
20210212:0200;92,55
20210212:0300;92,55
20210212:0400;95,9
20210212:0500;95,9
20210212:0600;95,9
20210212:0700;92,5
20210212:0800;99,4
20210212:0900;92,5
20210212:1000;86,1
20210212:1100;71,95
20210212:1200;57,9
20210212:1300;51,9
20210212:1400;50,1
20210212:1500;48,25
20210212:1600;50
20210212:1700;53,7
20210212:1800;59,7
20210212:1900;64,1
20210212:2000;68,9
20210212:2100;76,8
20210212:2200;82,6
20210212:2300;85,7
20210213:0000;88,85
20210213:0100;88,85
20210213:0200;92,2
20210213:0300;92,15
20210213:0400;92,15
20210213:0500;92,15
20210213:0600;92,15
20210213:0700;92,15
20210213:0800;95,7
20210213:0900;88,9
20210213:1000;76,85
20210213:1100;69,1
20210213:1200;59,85
20210213:1300;51,9
20210213:1400;50,1
20210213:1500;45,05
20210213:1600;43,4
20210213:1700;50,1
20210213:1800;57,9
20210213:1900;53,7
20210213:2000;57,65
20210213:2100;66,45
20210213:2200;74,05
20210213:2300;79,65
20210214:0000;82,55
20210214:0100;85,6
20210214:0200;92,2
20210214:0300;92,15
20210214:0400;92,15
20210214:0500;92,15
20210214:0600;95,65
20210214:0700;99,35
20210214:0800;99,4
20210214:0900;85,65
20210214:1000;74,15
20210214:1100;64,35
20210214:1200;55,9
20210214:1300;53,95
20210214:1400;52,15
20210214:1500;50,35
20210214:1600;50,35
20210214:1700;58,1
20210214:1800;67,05
20210214:1900;53,7
20210214:2000;71,6
20210214:2100;79,7
20210214:2200;79,65
20210214:2300;79,65
20210215:0000;82,6
20210215:0100;85,7
20210215:0200;88,9
20210215:0300;92,25
20210215:0400;95,75
20210215:0500;99,4
20210215:0600;99,4
20210215:0700;99,4
20210215:0800;95,75
20210215:0900;82,75
20210215:1000;79,9
20210215:1100;71,75
20210215:1200;64,55
20210215:1300;60,2
20210215:1400;60,3
20210215:1500;58,25
20210215:1600;58,25
20210215:1700;62,55
20210215:1800;67,05
20210215:1900;74,45
20210215:2000;74,3
20210215:2100;79,75
20210215:2200;79,7
20210215:2300;82,6
20210216:0000;85,7
20210216:0100;88,85
20210216:0200;95,75
20210216:0300;92,15
20210216:0400;92,15
20210216:0500;95,7
20210216:0600;95,65
20210216:0700;95,7
20210216:0800;92,15
20210216:0900;88,9
20210216:1000;74,05
20210216:1100;69,1
20210216:1200;62,2
20210216:1300;53,95
20210216:1400;53,95
20210216:1500;50,25
20210216:1600;52,15
20210216:1700;56
20210216:1800;62,2
20210216:1900;69,15
20210216:2000;74,3
20210216:2100;76,95
20210216:2200;82,65
20210216:2300;82,6
20210217:0000;85,7
20210217:0100;88,9
20210217:0200;92,25
20210217:0300;95,75
20210217:0400;92,25
20210217:0500;95,75
20210217:0600;95,7
20210217:0700;95,7
20210217:0800;99,4
20210217:0900;89
20210217:1000;77,15
20210217:1100;69,45
20210217:1200;62,55
20210217:1300;58,25
20210217:1400;54,35
20210217:1500;54,35
20210217:1600;54,35
20210217:1700;60,4
20210217:1800;72,2
20210217:1900;62,3
20210217:2000;62,3
20210217:2100;64,45
20210217:2200;69,15
20210217:2300;71,7
20210218:0000;74,2
20210218:0100;79,7
20210218:0200;85,7
20210218:0300;92,25
20210218:0400;92,2
20210218:0500;92,15
20210218:0600;88,75
20210218:0700;92,15
20210218:0800;88,75
20210218:0900;82,6
20210218:1000;66,55
20210218:1100;64,55
20210218:1200;56
20210218:1300;50,25
20210218:1400;46,75
20210218:1500;45,05
20210218:1600;45,05
20210218:1700;50,1
20210218:1800;55,65
20210218:1900;61,85
20210218:2000;66,45
20210218:2100;71,4
20210218:2200;79,65
20210218:2300;76,7
20210219:0000;79,55
20210219:0100;82,55
20210219:0200;85,6
20210219:0300;88,8
20210219:0400;92,15
20210219:0500;88,75
20210219:0600;88,75
20210219:0700;92,15
20210219:0800;92,15
20210219:0900;79,65
20210219:1000;69,1
20210219:1100;62,3
20210219:1200;60,3
20210219:1300;50,5
20210219:1400;45,3
20210219:1500;42,15
20210219:1600;40,6
20210219:1700;45,15
20210219:1800;52
20210219:1900;59,95
20210219:2000;69,1
20210219:2100;66,45
20210219:2200;71,4
20210219:2300;74,05
20210220:0000;73,95
20210220:0100;76,7
20210220:0200;79,55
20210220:0300;85,65
20210220:0400;85,65
20210220:0500;85,6
20210220:0600;85,6
20210220:0700;85,55
20210220:0800;85,6
20210220:0900;71,4
20210220:1000;57,65
20210220:1100;52
20210220:1200;46,9
20210220:1300;42,15
20210220:1400;36,55
20210220:1500;33,9
20210220:1600;32,65
20210220:1700;37,65
20210220:1800;46,5
20210220:1900;51,75
20210220:2000;53,5
20210220:2100;55,3
20210220:2200;57,3
20210220:2300;64
20210221:0000;68,9
20210221:0100;68,9
20210221:0200;71,4
20210221:0300;71,4
20210221:0400;71,4
20210221:0500;68,8
20210221:0600;74,05
20210221:0700;74,05
20210221:0800;74,05
20210221:0900;74,15
20210221:1000;71,6
20210221:1100;71,7
20210221:1200;69,15
20210221:1300;71,75
20210221:1400;71,75
20210221:1500;74,45
20210221:1600;77,15
20210221:1700;82,95
20210221:1800;85,95
20210221:1900;89,15
20210221:2000;89,1
20210221:2100;89,1
20210221:2200;92,35
20210221:2300;92,3
20210222:0000;88,9
20210222:0100;88,85
20210222:0200;88,85
20210222:0300;92,25
20210222:0400;92,25
20210222:0500;92,25
20210222:0600;92,25
20210222:0700;92,25
20210222:0800;92,25
20210222:0900;85,7
20210222:1000;79,65
20210222:1100;71,35
20210222:1200;66,25
20210222:1300;61,55
20210222:1400;57,3
20210222:1500;53,25
20210222:1600;53,25
20210222:1700;55,3
20210222:1800;66,45
20210222:1900;71,35
20210222:2000;73,9
20210222:2100;79,5
20210222:2200;82,5
20210222:2300;79,4
20210223:0000;85,55
20210223:0100;88,8
20210223:0200;88,75
20210223:0300;88,75
20210223:0400;88,7
20210223:0500;88,7
20210223:0600;92,15
20210223:0700;92,1
20210223:0800;92,15
